 z ;  x ; y
0;200.00;0.00
1;198.84;17.40
2;196.17;34.59
3;192.03;51.45
4;186.44;67.86
5;179.45;83.68
6;171.13;98.80
7;161.54;113.11
8;150.76;126.50
9;138.88;138.88
10;125.99;150.14
11;112.19;160.23
12;97.60;169.05
13;82.33;176.55
14;66.49;182.68
15;50.21;187.39
16;33.62;190.66
17;16.84;192.46
18;-0.00;192.80
19;-16.77;191.67
20;-33.34;189.08
21;-49.59;185.07
22;-65.39;179.67
23;-80.64;172.92
24;-95.20;164.89
25;-108.98;155.64
26;-121.87;145.24
27;-133.78;133.78
28;-144.63;121.36
29;-154.33;108.06
30;-162.81;94.00
31;-170.02;79.28
32;-175.91;64.03
33;-180.43;48.35
34;-183.57;32.37
35;-185.29;16.21
36;-185.60;-0.00
37;-184.50;-16.14
38;-181.99;-32.09
39;-178.12;-47.73
40;-172.90;-62.93
41;-166.40;-77.59
42;-158.66;-91.60
43;-149.74;-104.85
44;-139.73;-117.24
45;-128.69;-128.69
46;-116.73;-139.11
47;-103.93;-148.43
48;-90.40;-156.58
49;-76.24;-163.50
50;-61.56;-169.14
51;-46.48;-173.48
52;-31.12;-176.48
53;-15.58;-178.12
54;0.00;-178.40
55;15.51;-177.32
56;30.84;-174.90
57;45.86;-171.16
58;60.47;-166.14
59;74.55;-159.87
60;88.00;-152.42
61;100.72;-143.84
62;112.62;-134.21
63;123.60;-123.60
64;133.60;-112.10
65;142.53;-99.80
66;150.34;-86.80
67;156.97;-73.20
68;162.38;-59.10
69;166.53;-44.62
70;169.39;-29.87
71;170.95;-14.96
72;171.20;0.00
73;170.15;14.89
74;167.81;29.59
75;164.21;44.00
76;159.37;58.01
77;153.35;71.51
78;146.19;84.40
79;137.95;96.59
80;128.70;107.99
81;118.51;118.51
82;107.47;128.08
83;95.67;136.63
84;83.20;144.11
85;70.15;150.45
86;56.64;155.61
87;42.76;159.57
88;28.62;162.30
89;14.33;163.77
90;0.00;164.00
91;-14.26;162.98
92;-28.34;160.72
93;-42.14;157.25
94;-55.54;152.61
95;-68.46;146.82
96;-80.80;139.95
97;-92.46;132.05
98;-103.36;123.18
99;-113.42;113.42
100;-122.57;102.85
101;-130.74;91.54
102;-137.87;79.60
103;-143.92;67.11
104;-148.85;54.18
105;-152.62;40.89
106;-155.21;27.37
107;-156.60;13.70
108;-156.80;-0.00
109;-155.80;-13.63
110;-153.63;-27.09
111;-150.30;-40.27
112;-145.84;-53.08
113;-140.30;-65.42
114;-133.71;-77.20
115;-126.15;-88.33
116;-117.66;-98.73
117;-108.33;-108.33
118;-98.22;-117.05
119;-87.41;-124.84
120;-76.00;-131.64
121;-64.07;-137.40
122;-51.71;-142.08
123;-39.03;-145.66
124;-26.12;-148.12
125;-13.07;-149.43
126;-0.00;-149.60
127;13.00;-148.63
128;25.84;-146.54
129;38.41;-143.34
130;50.62;-139.07
131;62.38;-133.77
132;73.60;-127.48
133;84.20;-120.25
134;94.10;-112.15
135;103.24;-103.24
136;111.54;-93.59
137;118.94;-83.28
138;125.40;-72.40
139;130.87;-61.03
140;135.32;-49.25
141;138.71;-37.17
142;141.02;-24.87
143;142.26;-12.45
144;142.40;0.00
145;141.46;12.38
146;139.45;24.59
147;136.39;36.55
148;132.31;48.16
149;127.25;59.34
150;121.24;70.00
151;114.35;80.07
152;106.63;89.48
153;98.15;98.15
154;88.96;106.02
155;79.15;113.04
156;68.80;119.17
157;57.98;124.35
158;46.79;128.55
159;35.30;131.75
160;23.62;133.93
161;11.82;135.08
162;-0.00;135.20
163;-11.75;134.29
164;-23.34;132.36
165;-34.68;129.43
166;-45.69;125.54
167;-56.29;120.72
168;-66.40;115.01
169;-75.94;108.46
170;-84.85;101.12
171;-93.06;93.06
172;-100.51;84.33
173;-107.15;75.02
174;-112.93;65.20
175;-117.82;54.94
176;-121.78;44.33
177;-124.80;33.44
178;-126.84;22.37
179;-127.91;11.19
180;-128.00;0.00
181;-127.11;-11.12
182;-125.27;-22.09
183;-122.48;-32.82
184;-118.78;-43.23
185;-114.19;-53.25
